sample	unit	fq1	fq2
D	rep1.lane1	/home/tdidomenico/projects/bollito_data/seq/cp_D-NMV-O_S5_L001_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp_D-NMV-O_S5_L001_R2_001.fastq.gz
D	rep1.lane2	/home/tdidomenico/projects/bollito_data/seq/cp_D-NMV-O_S5_L002_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp_D-NMV-O_S5_L002_R2_001.fastq.gz
D	rep1.lane3	/home/tdidomenico/projects/bollito_data/seq/cp_D-NMV-O_S5_L003_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp_D-NMV-O_S5_L003_R2_001.fastq.gz
D	rep1.lane4	/home/tdidomenico/projects/bollito_data/seq/cp_D-NMV-O_S5_L004_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp_D-NMV-O_S5_L004_R2_001.fastq.gz
D	rep2.lane1	/home/tdidomenico/projects/bollito_data/seq/cp-D_S1_L001_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp-D_S1_L001_R2_001.fastq.gz
D	rep2.lane2	/home/tdidomenico/projects/bollito_data/seq/cp-D_S1_L002_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp-D_S1_L002_R2_001.fastq.gz
D	rep2.lane3	/home/tdidomenico/projects/bollito_data/seq/cp-D_S1_L003_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp-D_S1_L003_R2_001.fastq.gz
D	rep2.lane4	/home/tdidomenico/projects/bollito_data/seq/cp-D_S1_L004_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp-D_S1_L004_R2_001.fastq.gz
P	rep1.lane1	/home/tdidomenico/projects/bollito_data/seq/cp_P-NMV-O_S6_L001_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp_P-NMV-O_S6_L001_R2_001.fastq.gz
P	rep1.lane2	/home/tdidomenico/projects/bollito_data/seq/cp_P-NMV-O_S6_L002_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp_P-NMV-O_S6_L002_R2_001.fastq.gz
P	rep1.lane3	/home/tdidomenico/projects/bollito_data/seq/cp_P-NMV-O_S6_L003_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp_P-NMV-O_S6_L003_R2_001.fastq.gz
P	rep1.lane4	/home/tdidomenico/projects/bollito_data/seq/cp_P-NMV-O_S6_L004_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp_P-NMV-O_S6_L004_R2_001.fastq.gz
P	rep2.lane1	/home/tdidomenico/projects/bollito_data/seq/cp-P_S2_L001_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp-P_S2_L001_R2_001.fastq.gz
P	rep2.lane2	/home/tdidomenico/projects/bollito_data/seq/cp-P_S2_L002_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp-P_S2_L002_R2_001.fastq.gz
P	rep2.lane3	/home/tdidomenico/projects/bollito_data/seq/cp-P_S2_L003_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp-P_S2_L003_R2_001.fastq.gz
P	rep2.lane4	/home/tdidomenico/projects/bollito_data/seq/cp-P_S2_L004_R1_001.fastq.gz	/home/tdidomenico/projects/bollito_data/seq/cp-P_S2_L004_R2_001.fastq.gz
